epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.9081,1.15722,3.55216,1.33616,0.38587,0.19257,0.07262,0.04889,1.51967,6.76891,1.72046,0.000294811,0.000294811,0.000294811
2,23.9528,1.2308,2.79981,1.36327,0.04482,0.14703,0.00752,0.00482,2.25551,inf,5.18974,0.000593865,0.000593865,0.000593865
3,35.8757,1.29688,2.5705,1.36752,0.2765,0.4015,0.14593,0.07881,1.97614,53.306,3.09181,0.00088892,0.00088892,0.00088892
4,47.6524,1.33696,2.45697,1.4015,0.53552,0.15391,0.1412,0.07887,2.38679,5.87961,3.09959,0.000891002,0.000891002,0.000891002
5,59.4698,1.28255,2.31802,1.38251,0.2767,0.18523,0.10874,0.07712,2.09419,5.42301,2.50489,0.000885002,0.000885002,0.000885002
6,71.1912,1.25138,2.2753,1.36465,0.34387,0.36049,0.20465,0.13788,1.51993,5.96118,1.93055,0.000879003,0.000879003,0.000879003
7,83.0093,1.25229,2.16465,1.34315,0.30532,0.38004,0.20385,0.12965,1.62683,3.96461,1.80159,0.000873004,0.000873004,0.000873004
8,94.6434,1.18687,2.03592,1.2924,0.37586,0.41649,0.23584,0.15232,1.38427,3.8799,1.6704,0.000867004,0.000867004,0.000867004
9,106.461,1.13706,1.93435,1.30373,0.46933,0.38004,0.36226,0.23949,1.25809,3.34968,1.50049,0.000861005,0.000861005,0.000861005
10,118.222,1.11907,1.82585,1.27441,0.44399,0.46616,0.35723,0.25218,1.26952,3.20658,1.53213,0.000855005,0.000855005,0.000855005
11,130.057,1.12643,1.77657,1.28217,0.54573,0.48014,0.45633,0.30976,1.26011,3.04949,1.48676,0.000849006,0.000849006,0.000849006
12,141.826,1.06176,1.74335,1.22546,0.63073,0.43217,0.48565,0.3437,1.20373,2.42561,1.45036,0.000843007,0.000843007,0.000843007
13,153.607,1.09637,1.67629,1.24776,0.50447,0.50668,0.50839,0.36084,1.25416,2.07312,1.51459,0.000837007,0.000837007,0.000837007
14,165.328,1.03245,1.57573,1.21474,0.67935,0.5226,0.53509,0.3924,1.11046,2.16021,1.40932,0.000831008,0.000831008,0.000831008
15,177.115,1.03423,1.56172,1.21284,0.64086,0.50634,0.54254,0.37532,1.20083,2.05757,1.45038,0.000825008,0.000825008,0.000825008
16,188.722,1.08805,1.61302,1.24519,0.61573,0.50861,0.5097,0.37087,1.11152,1.99051,1.36441,0.000819009,0.000819009,0.000819009
17,200.323,1.02154,1.542,1.21422,0.69939,0.50268,0.58908,0.42767,1.03409,1.71353,1.32234,0.00081301,0.00081301,0.00081301
18,212.03,0.9957,1.48224,1.18967,0.57633,0.54606,0.58657,0.40901,1.11727,1.60075,1.34611,0.00080701,0.00080701,0.00080701
19,223.666,0.99179,1.42295,1.18078,0.60184,0.55991,0.55855,0.3899,1.18165,2.0532,1.38698,0.000801011,0.000801011,0.000801011
20,235.281,0.98486,1.3569,1.1836,0.76257,0.47116,0.58109,0.40305,1.18636,2.19102,1.42016,0.000795011,0.000795011,0.000795011
21,246.893,0.93919,1.34904,1.15708,0.61838,0.57638,0.61683,0.42909,1.164,1.62817,1.36042,0.000789012,0.000789012,0.000789012
22,258.618,0.91589,1.31998,1.13935,0.53421,0.55226,0.56313,0.3991,1.09862,1.58416,1.34666,0.000783013,0.000783013,0.000783013
23,270.286,0.8905,1.23056,1.12144,0.72291,0.57719,0.57996,0.42661,1.07763,1.84537,1.34654,0.000777013,0.000777013,0.000777013
