epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.7921,1.21508,3.49109,1.2906,0.42013,0.21676,0.22241,0.14796,1.37322,3.61974,1.68109,0.000294811,0.000294811,0.000294811
2,22.2456,1.2515,2.58776,1.34403,0.06714,0.2974,0.0488,0.03008,2.26609,13.5049,2.91317,0.000593865,0.000593865,0.000593865
3,31.746,1.26106,2.2092,1.3411,0.36563,0.18416,0.131,0.08574,1.79026,94.1147,2.63057,0.00088892,0.00088892,0.00088892
4,41.4172,1.30894,2.30028,1.3583,0.09246,0.09312,0.05717,0.02958,2.42158,40.4547,3.02951,0.000891002,0.000891002,0.000891002
5,50.8299,1.27303,2.15381,1.34503,0.33808,0.32492,0.16277,0.09834,1.49543,9.42256,1.80312,0.000885002,0.000885002,0.000885002
6,60.2793,1.26078,2.11584,1.32435,0.46157,0.32286,0.28811,0.1956,1.33391,6.72113,1.51988,0.000879003,0.000879003,0.000879003
7,69.7074,1.2507,2.01233,1.32968,0.54433,0.39096,0.34793,0.22898,1.4355,3.0517,1.65441,0.000873004,0.000873004,0.000873004
8,79.1565,1.20305,1.84049,1.26071,0.49566,0.34147,0.30079,0.19884,1.32987,3.02302,1.52263,0.000867004,0.000867004,0.000867004
9,88.4773,1.18893,1.80858,1.28003,0.60419,0.44984,0.42015,0.29394,1.18247,3.41028,1.41086,0.000861005,0.000861005,0.000861005
10,97.9653,1.12415,1.70753,1.24684,0.66887,0.45675,0.45193,0.3041,1.28899,2.97654,1.53762,0.000855005,0.000855005,0.000855005
11,107.386,1.14375,1.71897,1.265,0.73722,0.47937,0.48746,0.33304,1.23775,2.36866,1.4834,0.000849006,0.000849006,0.000849006
12,116.864,1.05419,1.48091,1.19073,0.60872,0.43306,0.41657,0.29854,1.17368,3.44655,1.39727,0.000843007,0.000843007,0.000843007
13,126.2,1.08839,1.48645,1.20493,0.66482,0.46644,0.49785,0.35383,1.12015,2.12903,1.34776,0.000837007,0.000837007,0.000837007
14,135.638,1.06247,1.43312,1.18664,0.63949,0.532,0.54149,0.36281,1.15868,1.89356,1.38304,0.000831008,0.000831008,0.000831008
15,145.043,1.06127,1.45168,1.21206,0.66722,0.50452,0.51735,0.3718,1.13473,1.94002,1.3606,0.000825008,0.000825008,0.000825008
16,154.513,1.06764,1.43681,1.22355,0.64796,0.54077,0.52959,0.38193,1.14526,2.27825,1.37451,0.000819009,0.000819009,0.000819009
17,163.931,1.02174,1.38769,1.18776,0.70654,0.52022,0.54053,0.38346,1.11644,1.81806,1.35294,0.00081301,0.00081301,0.00081301
18,173.324,1.00867,1.3381,1.16831,0.73096,0.58921,0.59541,0.41195,1.16433,2.07508,1.37377,0.00080701,0.00080701,0.00080701
19,182.751,0.98901,1.28437,1.16833,0.79145,0.54151,0.62147,0.44204,1.11587,1.58033,1.31773,0.000801011,0.000801011,0.000801011
20,192.179,1.05075,1.2866,1.19467,0.68042,0.59758,0.60727,0.44269,1.06239,1.89273,1.31728,0.000795011,0.000795011,0.000795011
